"","handle","followers"
"537","garyvee","2 320 905 "
"538","Franklin_Graham","2 318 393 "
"539","DeLaGhettoReal","2 318 364 "
"540","richthekid","2 314 366 "
"541","TRINArockstarr","2 300 274 "
"542","reba","2 298 420 "
"543","macklemore","2 293 624 "
"544","Ginger_Zee","2 288 903 "
"545","shitmydadsays","2 286 847 "
"546","RickWarren","2 276 929 "
"547","Acosta","2 273 930 "
"548","MickJagger","2 270 591 "
"549","madelainepetsch","2 267 381 "
"550","LilKim","2 266 558 "
"551","colortheory","2 264 270 "
"552","mortreport","2 263 820 "
"553","jeremypiven","2 260 250 "
"554","anthonypadilla","2 252 085 "
"555","bobsaget","2 249 434 "
"556","ericschmidt","2 241 138 "
"557","KendraWilkinson","2 237 271 "
"558","russdiemon","2 236 627 "
"559","HulkHogan","2 233 228 "
"560","ElizabethBanks","2 232 532 "
"561","slipknot","2 225 544 "
"562","TrueKofi","2 225 251 "
"563","scump","2 219 651 "
"564","ashleesimpson","2 216 416 "
"565","LarryFitzgerald","2 209 123 "
"566","PeteCarroll","2 204 205 "
"567","teddspotting","2 200 814 "
"568","tylerrjoseph","2 189 718 "
"569","chriscolfer","2 187 014 "
"570","BryantEslava","2 186 309 "
"571","BryanCranston","2 186 212 "
"572","earlxsweat","2 181 059 "
"573","HeffronDrive","2 180 853 "
"574","SashaBanksWWE","2 179 291 "
"575","TheMattCardona","2 176 539 "
"576","mariashriver","2 172 292 "
"577","brendonurie","2 169 072 "
"578","EzekielElliott","2 166 757 "
"579","kaj33","2 161 458 "
"580","LouDobbs","2 158 449 "
"581","sydneyleroux","2 157 376 "
"582","KattWilliams","2 149 619 "
"583","AntDavis23","2 144 744 "
"584","ChrisCuomo","2 144 684 "
"585","phynofino","2 144 670 "
"586","cthagod","2 144 521 "
"587","chucktodd","2 144 343 "
"588","DanRather","2 142 319 "
"589","BrentRivera","2 142 007 "
"590","DENISE_RICHARDS","2 138 738 "
"591","KateUpton","2 135 021 "
"592","jakeowen","2 130 895 "
"593","chadwickboseman","2 105 958 "
"594","EdwardNorton","2 104 766 "
"595","Casey","2 101 498 "
"596","paulfeig","2 096 485 "
"597","6BillionPeople","2 095 647 "
"598","kathygriffin","2 094 639 "
"599","Aerosmith","2 091 293 "
"600","williebosshog","2 090 473 "
"601","levarburton","2 087 130 "
"602","RSherman_25","2 074 895 "
"603","PatMcAfeeShow","2 071 513 "
"604","DJDRAMA","2 071 253 "
"605","BrotherNature","2 065 262 "
"606","notthefakeSVP","2 053 545 "
"607","BrodyJenner","2 050 301 "
"608","jasonsegel","2 049 932 "
"609","BetteMidler","2 045 345 "
"610","HeymanHustle","2 040 460 "
"611","ericchurch","2 037 053 "
"612","michellemalkin","2 036 684 "
"613","HelloImLana","2 035 250 "
"614","EllenPompeo","2 033 487 "
"615","Meghan_Trainor","2 032 909 "
"616","TheOfficialA7X","2 027 259 "
"617","JoyAnnReid","2 024 165 "
"618","RGIII","2 024 051 "
"619","NickKristof","2 023 256 "
"620","PaulaAbdul","2 015 877 "
"621","MarlonWayans","2 007 683 "
"622","FLAGALine","2 007 238 "
"623","darrenrovell","2 004 608 "
"624","TomBrady","2 002 706 "
"625","williecolon","2 002 459 "
"626","JordanSpieth","2 000 867 "
"627","bobatl","1 999 873 "
"628","iamblackbear","1 995 925 "
"629","StephanieAbrams","1 987 537 "
"630","shondarhimes","1 987 424 "
"631","IyanlaVanzant","1 983 269 "
"632","MichaelPhelps","1 981 643 "
"633","AudrinaPatridge","1 978 279 "
"634","ashanti","1 977 923 "
"635","jennirivera","1 972 367 "
"636","CoachJim4UM","1 971 039 "
"637","CandiceAccola","1 970 106 "
"638","zachbraff","1 968 986 "
"639","AnnCoulter","1 964 889 "
"640","jdickerson","1 959 277 "
"641","KekePalmer","1 959 019 "
"642","mitchellreports","1 956 091 "
"643","joshuadun","1 951 353 "
"644","AndrewYang","1 949 159 "
"645","NeNeLeakes","1 938 152 "
"646","GUBLERNATION","1 936 322 "
"647","KatGraham","1 936 026 "
"648","DanaPerino","1 932 602 "
"649","TiaMowry","1 930 369 "
"650","batemanjason","1 926 030 "
"651","CoachUrbanMeyer","1 924 423 "
"652","Adrian_ElTitan","1 924 141 "
"653","IANMHARDING","1 922 940 "
"654","JohnWall","1 922 377 "
"655","PatrickMahomes","1 921 124 "
"656","MsCharlotteWWE","1 917 942 "
"657","meganbata","1 917 205 "
"658","JayBilas","1 913 274 "
"659","Nasty_CSA","1 912 822 "
"660","bubbawatson","1 904 027 "
"661","YoGotti","1 903 868 "
"662","Kandi","1 900 768 "
"663","SiriouslySusan","1 895 114 "
"664","WakaFlocka","1 893 071 "
"665","shroud","1 886 143 "
"666","JaseDuckman","1 885 895 "
"667","boburnham","1 885 553 "
"668","DarrenCriss","1 884 355 "
"669","JordanPeele","1 883 566 "
"670","I_AM_WILDCAT","1 880 701 "
"671","LeVeonBell","1 880 127 "
"672","dave_spector","1 877 237 "
"673","JacobWhitesides","1 876 283 "
"674","JustinVerlander","1 870 105 "
"675","michaelianblack","1 860 288 "
"676","JoelEmbiid","1 859 620 "
"677","kirkfranklin","1 859 218 "
"678","jacksfilms","1 850 629 "
"679","DoveCameron","1 849 748 "
"680","ColtonLHaynes","1 847 069 "
"681","KennyHamilton","1 846 964 "
"682","ChrisYoungMusic","1 846 950 "
"683","FINALLEVEL","1 840 503 "
"684","Nick_Offerman","1 835 690 "
"685","30SECONDSTOMARS","1 834 420 "
"686","LoriGreiner","1 824 726 "
"687","Preston","1 824 723 "
"688","lauramarano","1 820 779 "
"689","janemarielynch","1 809 817 "
"690","georgelopez","1 805 728 "
"691","thekatvond","1 804 268 "
"692","JalenRose","1 795 287 "
"693","peter_king","1 788 872 "
"694","AshleyMGreene","1 788 134 "
"695","tonibraxton","1 785 385 "
"696","KameronBennett","1 783 061 "
"697","billburr","1 782 908 "
"698","thekimberlycole","1 781 252 "
"699","kimguilfoyle","1 776 340 "
"700","jerrytrainor","1 772 232 "
"701","oliviawilde","1 771 974 "
"702","LilBibby_","1 770 114 "
"703","TTLYTEALA","1 768 271 "
"704","jennmcallister","1 767 085 "
"705","ChelseaHouska","1 760 985 "
"706","Therealkiss","1 758 492 "
"707","justsanaa","1 756 012 "
"708","isaiahthomas","1 755 284 "
"709","Venuseswilliams","1 755 083 "
"710","DineshDSouza","1 754 328 "
"711","NateDiaz209","1 753 136 "
"712","Joan_Rivers","1 749 751 "
"713","sadierob","1 748 131 "
"714","ColleenB123","1 748 077 "
"715","DiannaAgron","1 747 552 "
"716","kanebrown","1 744 803 "
"717","AlexGaskarth","1 741 580 "
"718","violadavis","1 740 643 "
"719","DitaVonTeese","1 736 381 "
"720","pennjillette","1 736 266 "
"721","toddcarey","1 736 101 "
"722","DanicaPatrick","1 734 513 "
"723","tferriss","1 729 806 "
"724","MELANIATRUMP","1 729 762 "
"725","rascalflatts","1 727 725 "
"726","DAVIDprice24","1 727 042 "
"727","MonicaDenise","1 725 936 "
"728","katiecouric","1 725 338 "
"729","KeeganAllen","1 724 076 "
"730","missjillscott","1 723 063 "
"731","TameraMowryTwo","1 722 387 "
"732","ev","1 721 335 "
"733","mitchelmusso","1 719 800 "
"734","FaZeBlaze","1 719 460 "
"735","johncusack","1 718 971 "
"736","JRsBBQ","1 717 243 "
"737","TerrenceJ","1 715 425 "
"738","WarrenBuffett","1 715 207 "
"739","SimplyChri5tian","1 715 128 "
"740","SashaPieterse","1 714 702 "
"741","timoreilly","1 713 272 "
"742","maggieNYT","1 710 094 "
"743","chriscornell","1 708 085 "
"744","SmoshIan","1 706 249 "
"745","PeytonList","1 703 245 "
"746","Saweetie","1 703 028 "
"747","RonKillings","1 702 517 "
"748","jimcramer","1 697 091 "
"749","TmarTn","1 694 859 "
"750","IamStevenT","1 692 844 "
"751","realjknoxville","1 692 037 "
"752","tydollasign","1 691 352 "
"753","hollandroden","1 688 140 "
"754","Megadeth","1 683 470 "
"755","terrycrews","1 681 272 "
"756","Weezer","1 680 833 "
"757","GDeLaurentiis","1 679 432 "
"758","TamarBraxtonHer","1 675 786 "
"759","AlbertBrooks","1 673 698 "
"760","tylerhoechlin","1 671 766 "
"761","RickieFowler","1 671 754 "
"762","PUSHA_T","1 670 539 "
"763","trevimoran","1 668 130 "
"764","DanBilzerian","1 666 359 "
"765","lecrae","1 662 292 "
"766","sacca","1 653 044 "
"767","Mariobatali","1 649 792 "
"768","zacbrownband","1 645 498 "
"769","davidgregory","1 645 458 "
"770","iamkevingates","1 642 968 "
"771","RajonRondo","1 640 522 "
"772","mradamscott","1 635 003 "
